;test_accuracy;Epoch;train-saturation_conv1;train-saturation_layer1-0-conv1;train-saturation_layer1-0-conv2;train-saturation_layer1-0-conv3;train-saturation_layer1-0-shortcut-0;train-saturation_layer1-1-conv1;train-saturation_layer1-1-conv2;train-saturation_layer1-1-conv3;train-saturation_layer1-2-conv1;train-saturation_layer1-2-conv2;train-saturation_layer1-2-conv3;train-saturation_layer2-0-conv1;train-saturation_layer2-0-conv2;train-saturation_layer2-0-conv3;train-saturation_layer2-0-shortcut-0;train-saturation_layer2-1-conv1;train-saturation_layer2-1-conv2;train-saturation_layer2-1-conv3;train-saturation_layer2-2-conv1;train-saturation_layer2-2-conv2;train-saturation_layer2-2-conv3;train-saturation_layer2-3-conv1;train-saturation_layer2-3-conv2;train-saturation_layer2-3-conv3;train-saturation_layer3-0-conv1;train-saturation_layer3-0-conv2;train-saturation_layer3-0-conv3;train-saturation_layer3-0-shortcut-0;train-saturation_layer3-1-conv1;train-saturation_layer3-1-conv2;train-saturation_layer3-1-conv3;train-saturation_layer3-2-conv1;train-saturation_layer3-2-conv2;train-saturation_layer3-2-conv3;train-saturation_layer3-3-conv1;train-saturation_layer3-3-conv2;train-saturation_layer3-3-conv3;train-saturation_layer3-4-conv1;train-saturation_layer3-4-conv2;train-saturation_layer3-4-conv3;train-saturation_layer3-5-conv1;train-saturation_layer3-5-conv2;train-saturation_layer3-5-conv3;train-saturation_layer4-0-conv1;train-saturation_layer4-0-conv2;train-saturation_layer4-0-conv3;train-saturation_layer4-0-shortcut-0;train-saturation_layer4-1-conv1;train-saturation_layer4-1-conv2;train-saturation_layer4-1-conv3;train-saturation_layer4-2-conv1;train-saturation_layer4-2-conv2;train-saturation_layer4-2-conv3;train-saturation_linear;eval-saturation_conv1;eval-saturation_layer1-0-conv1;eval-saturation_layer1-0-conv2;eval-saturation_layer1-0-conv3;eval-saturation_layer1-0-shortcut-0;eval-saturation_layer1-1-conv1;eval-saturation_layer1-1-conv2;eval-saturation_layer1-1-conv3;eval-saturation_layer1-2-conv1;eval-saturation_layer1-2-conv2;eval-saturation_layer1-2-conv3;eval-saturation_layer2-0-conv1;eval-saturation_layer2-0-conv2;eval-saturation_layer2-0-conv3;eval-saturation_layer2-0-shortcut-0;eval-saturation_layer2-1-conv1;eval-saturation_layer2-1-conv2;eval-saturation_layer2-1-conv3;eval-saturation_layer2-2-conv1;eval-saturation_layer2-2-conv2;eval-saturation_layer2-2-conv3;eval-saturation_layer2-3-conv1;eval-saturation_layer2-3-conv2;eval-saturation_layer2-3-conv3;eval-saturation_layer3-0-conv1;eval-saturation_layer3-0-conv2;eval-saturation_layer3-0-conv3;eval-saturation_layer3-0-shortcut-0;eval-saturation_layer3-1-conv1;eval-saturation_layer3-1-conv2;eval-saturation_layer3-1-conv3;eval-saturation_layer3-2-conv1;eval-saturation_layer3-2-conv2;eval-saturation_layer3-2-conv3;eval-saturation_layer3-3-conv1;eval-saturation_layer3-3-conv2;eval-saturation_layer3-3-conv3;eval-saturation_layer3-4-conv1;eval-saturation_layer3-4-conv2;eval-saturation_layer3-4-conv3;eval-saturation_layer3-5-conv1;eval-saturation_layer3-5-conv2;eval-saturation_layer3-5-conv3;eval-saturation_layer4-0-conv1;eval-saturation_layer4-0-conv2;eval-saturation_layer4-0-conv3;eval-saturation_layer4-0-shortcut-0;eval-saturation_layer4-1-conv1;eval-saturation_layer4-1-conv2;eval-saturation_layer4-1-conv3;eval-saturation_layer4-2-conv1;eval-saturation_layer4-2-conv2;eval-saturation_layer4-2-conv3;eval-saturation_linear
29;78.12;29;0.15625;0.21875;0.625;0.12890625;0.0625;0.375;0.640625;0.1328125;0.421875;0.625;0.11328125;0.3046875;0.5234375;0.08203125;0.09375;0.1953125;0.484375;0.08984375;0.2421875;0.515625;0.099609375;0.28125;0.46875;0.0625;0.1796875;0.28125;0.0283203125;0.037109375;0.0546875;0.0390625;0.0048828125;0.0625;0.02734375;0.001953125;0.0390625;0.0078125;0.0;0.046875;0.0078125;0.0009765625;0.05078125;0.01171875;0.0;0.03125;0.015625;0.00341796875;0.00341796875;0.015625;0.005859375;0.0;0.015625;0.005859375;0.0;0.7;0.15625;0.203125;0.578125;0.125;0.0625;0.34375;0.625;0.12890625;0.40625;0.609375;0.12109375;0.2890625;0.46875;0.07421875;0.08203125;0.1796875;0.4296875;0.080078125;0.2265625;0.46875;0.091796875;0.265625;0.4375;0.06640625;0.1640625;0.15234375;0.0224609375;0.02734375;0.04296875;0.03125;0.00390625;0.0546875;0.02734375;0.0029296875;0.0390625;0.0078125;0.0;0.0390625;0.0078125;0.0009765625;0.046875;0.01171875;0.0;0.02734375;0.01171875;0.0029296875;0.0029296875;0.01171875;0.009765625;0.0;0.01171875;0.00390625;0.0;0.6
30;80.23;30;0.15625;0.21875;0.625;0.12890625;0.0625;0.375;0.671875;0.140625;0.421875;0.625;0.109375;0.3125;0.53125;0.083984375;0.09375;0.203125;0.5;0.091796875;0.25;0.515625;0.103515625;0.28125;0.484375;0.0703125;0.1796875;0.27734375;0.0283203125;0.0380859375;0.0546875;0.04296875;0.0048828125;0.05859375;0.0234375;0.001953125;0.03515625;0.0078125;0.0;0.046875;0.0078125;0.0009765625;0.05078125;0.01171875;0.0;0.03125;0.015625;0.0029296875;0.0029296875;0.015625;0.005859375;0.0;0.013671875;0.009765625;0.0;0.7;0.15625;0.21875;0.578125;0.125;0.0625;0.359375;0.640625;0.13671875;0.390625;0.609375;0.1171875;0.2890625;0.4609375;0.076171875;0.08203125;0.1875;0.4453125;0.08203125;0.234375;0.46875;0.09375;0.2578125;0.4453125;0.068359375;0.16015625;0.15234375;0.0224609375;0.02734375;0.046875;0.03125;0.0048828125;0.0546875;0.0234375;0.0029296875;0.03515625;0.0078125;0.0;0.04296875;0.01171875;0.0009765625;0.046875;0.01171875;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.01171875;0.009765625;0.0;0.013671875;0.005859375;0.0;0.7
31;75.24;31;0.15625;0.21875;0.625;0.12890625;0.0625;0.375;0.65625;0.13671875;0.421875;0.625;0.11328125;0.3125;0.53125;0.083984375;0.09375;0.203125;0.4921875;0.091796875;0.25;0.5234375;0.1015625;0.28125;0.484375;0.072265625;0.18359375;0.28515625;0.029296875;0.0390625;0.0546875;0.03515625;0.00390625;0.06640625;0.0234375;0.001953125;0.0390625;0.0078125;0.0;0.04296875;0.0078125;0.0009765625;0.046875;0.0078125;0.0;0.03125;0.013671875;0.0029296875;0.00341796875;0.015625;0.0078125;0.0;0.015625;0.009765625;0.0;0.7;0.15625;0.21875;0.578125;0.125;0.0625;0.359375;0.640625;0.1328125;0.40625;0.625;0.12109375;0.296875;0.4765625;0.078125;0.083984375;0.1875;0.4375;0.08203125;0.234375;0.484375;0.091796875;0.265625;0.4453125;0.068359375;0.1640625;0.15234375;0.0224609375;0.02734375;0.0390625;0.02734375;0.0029296875;0.05078125;0.0234375;0.001953125;0.03125;0.0078125;0.0;0.0390625;0.0078125;0.0009765625;0.04296875;0.0078125;0.0;0.02734375;0.01171875;0.00244140625;0.00244140625;0.01171875;0.0078125;0.0;0.01171875;0.005859375;0.0;0.6
32;76.06;32;0.15625;0.21875;0.609375;0.12890625;0.0625;0.375;0.671875;0.140625;0.421875;0.640625;0.11328125;0.3203125;0.5390625;0.0859375;0.09765625;0.2109375;0.5;0.091796875;0.2578125;0.5390625;0.103515625;0.2890625;0.5;0.06640625;0.1875;0.28125;0.0283203125;0.0390625;0.0546875;0.03515625;0.00390625;0.0546875;0.01953125;0.001953125;0.03125;0.0078125;0.0;0.04296875;0.0078125;0.0009765625;0.046875;0.01171875;0.0;0.029296875;0.013671875;0.0029296875;0.0029296875;0.013671875;0.00390625;0.0;0.013671875;0.0078125;0.0;0.7;0.15625;0.21875;0.5625;0.125;0.0625;0.359375;0.65625;0.13671875;0.40625;0.625;0.125;0.296875;0.46875;0.076171875;0.08203125;0.1953125;0.4375;0.08203125;0.234375;0.4765625;0.09375;0.265625;0.4453125;0.06640625;0.16796875;0.15234375;0.0224609375;0.02734375;0.04296875;0.0234375;0.0029296875;0.0546875;0.0234375;0.0029296875;0.03125;0.00390625;0.0;0.0390625;0.0078125;0.0009765625;0.0390625;0.0078125;0.0;0.02734375;0.01171875;0.00244140625;0.00244140625;0.009765625;0.0078125;0.0;0.01171875;0.005859375;0.0;0.5
33;80.47;33;0.171875;0.21875;0.625;0.1328125;0.0625;0.390625;0.65625;0.13671875;0.421875;0.625;0.11328125;0.3203125;0.53125;0.087890625;0.09765625;0.2109375;0.5078125;0.095703125;0.2578125;0.53125;0.107421875;0.2890625;0.4765625;0.06640625;0.19140625;0.2890625;0.0283203125;0.0400390625;0.0546875;0.03125;0.00390625;0.05859375;0.0234375;0.001953125;0.03515625;0.0078125;0.0;0.046875;0.0078125;0.0;0.046875;0.0078125;0.0;0.03125;0.013671875;0.0029296875;0.00341796875;0.015625;0.00390625;0.0;0.015625;0.005859375;0.0;0.7;0.15625;0.21875;0.59375;0.12890625;0.0625;0.359375;0.640625;0.13671875;0.421875;0.625;0.12109375;0.3046875;0.46875;0.078125;0.083984375;0.1953125;0.453125;0.083984375;0.234375;0.484375;0.09765625;0.2734375;0.4453125;0.06640625;0.16796875;0.1484375;0.021484375;0.02734375;0.0390625;0.02734375;0.0029296875;0.05078125;0.0234375;0.0029296875;0.03125;0.00390625;0.0;0.04296875;0.0078125;0.0;0.04296875;0.0078125;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.013671875;0.009765625;0.0;0.013671875;0.005859375;0.0;0.7
34;78.46;34;0.15625;0.234375;0.625;0.1328125;0.0625;0.40625;0.671875;0.140625;0.4375;0.640625;0.1171875;0.3359375;0.546875;0.087890625;0.099609375;0.2109375;0.5078125;0.09375;0.265625;0.5546875;0.111328125;0.296875;0.4921875;0.068359375;0.1953125;0.28125;0.02734375;0.0400390625;0.0546875;0.03125;0.0029296875;0.05859375;0.01953125;0.001953125;0.03125;0.00390625;0.0;0.04296875;0.00390625;0.0;0.046875;0.0078125;0.0;0.03125;0.015625;0.0029296875;0.00341796875;0.015625;0.00390625;0.0;0.015625;0.0078125;0.0;0.7;0.15625;0.234375;0.578125;0.12890625;0.0625;0.375;0.65625;0.13671875;0.421875;0.640625;0.12890625;0.3125;0.484375;0.08203125;0.0859375;0.1953125;0.4453125;0.083984375;0.2421875;0.5;0.1015625;0.2734375;0.453125;0.072265625;0.171875;0.15625;0.0224609375;0.029296875;0.0390625;0.02734375;0.0029296875;0.05078125;0.01953125;0.001953125;0.03125;0.00390625;0.0;0.04296875;0.0078125;0.0009765625;0.046875;0.0078125;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.013671875;0.0078125;0.0;0.013671875;0.005859375;0.0;0.6
35;78.39;35;0.15625;0.21875;0.625;0.1328125;0.0625;0.390625;0.65625;0.140625;0.4375;0.640625;0.11328125;0.328125;0.546875;0.08984375;0.1015625;0.2109375;0.5234375;0.099609375;0.265625;0.546875;0.109375;0.296875;0.5;0.07421875;0.19921875;0.2890625;0.0283203125;0.041015625;0.0546875;0.03125;0.0029296875;0.0546875;0.01953125;0.0009765625;0.03515625;0.00390625;0.0;0.04296875;0.00390625;0.0;0.046875;0.0078125;0.0;0.03125;0.013671875;0.0029296875;0.00341796875;0.015625;0.001953125;0.0;0.015625;0.009765625;0.0;0.7;0.171875;0.234375;0.59375;0.12890625;0.06640625;0.375;0.640625;0.140625;0.421875;0.640625;0.12890625;0.3125;0.484375;0.080078125;0.08984375;0.1953125;0.453125;0.087890625;0.25;0.4765625;0.09765625;0.2734375;0.4609375;0.07421875;0.17578125;0.15234375;0.021484375;0.029296875;0.0390625;0.0234375;0.001953125;0.05078125;0.01953125;0.001953125;0.03125;0.00390625;0.0;0.0390625;0.00390625;0.0;0.0390625;0.0078125;0.0;0.025390625;0.01171875;0.0029296875;0.00244140625;0.013671875;0.0078125;0.0;0.013671875;0.005859375;0.0;0.7
36;79.65;36;0.15625;0.21875;0.625;0.1328125;0.0625;0.390625;0.671875;0.140625;0.4375;0.65625;0.1171875;0.3359375;0.5390625;0.087890625;0.103515625;0.2109375;0.5234375;0.099609375;0.2734375;0.5546875;0.111328125;0.3046875;0.4921875;0.078125;0.203125;0.29296875;0.02734375;0.04296875;0.05078125;0.03125;0.0029296875;0.0546875;0.0234375;0.0009765625;0.03515625;0.00390625;0.0;0.04296875;0.00390625;0.0;0.046875;0.0078125;0.0;0.03125;0.015625;0.0029296875;0.0029296875;0.015625;0.001953125;0.0;0.013671875;0.0078125;0.0;0.7;0.171875;0.21875;0.59375;0.1328125;0.06640625;0.375;0.65625;0.140625;0.4375;0.640625;0.12890625;0.3125;0.4765625;0.080078125;0.087890625;0.1953125;0.4609375;0.08984375;0.25;0.5;0.1015625;0.2734375;0.4453125;0.07421875;0.17578125;0.15234375;0.021484375;0.029296875;0.0390625;0.02734375;0.0029296875;0.05078125;0.01953125;0.0009765625;0.03515625;0.00390625;0.0;0.0390625;0.00390625;0.0;0.04296875;0.0078125;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.01171875;0.005859375;0.0;0.01171875;0.00390625;0.0;0.6
37;82.17;37;0.15625;0.21875;0.625;0.13671875;0.06640625;0.390625;0.671875;0.14453125;0.453125;0.65625;0.125;0.3359375;0.546875;0.08984375;0.103515625;0.21875;0.5234375;0.103515625;0.2734375;0.5546875;0.1171875;0.3125;0.515625;0.076171875;0.20703125;0.296875;0.0283203125;0.04296875;0.05078125;0.02734375;0.0029296875;0.0546875;0.01953125;0.0009765625;0.03125;0.00390625;0.0;0.04296875;0.00390625;0.0;0.046875;0.00390625;0.0;0.03125;0.015625;0.0029296875;0.0029296875;0.015625;0.001953125;0.0;0.015625;0.0078125;0.0;0.8;0.15625;0.21875;0.59375;0.1328125;0.06640625;0.359375;0.65625;0.14453125;0.421875;0.640625;0.1328125;0.3046875;0.484375;0.08203125;0.08984375;0.1953125;0.453125;0.08984375;0.2578125;0.4921875;0.103515625;0.28125;0.453125;0.072265625;0.1796875;0.15234375;0.021484375;0.0283203125;0.0390625;0.0234375;0.0029296875;0.046875;0.01953125;0.0009765625;0.03515625;0.00390625;0.0;0.03515625;0.00390625;0.0;0.0390625;0.00390625;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.01171875;0.00390625;0.0;0.01171875;0.00390625;0.0;0.6
38;80.98;38;0.15625;0.234375;0.625;0.13671875;0.06640625;0.390625;0.671875;0.140625;0.453125;0.65625;0.12109375;0.34375;0.546875;0.08984375;0.103515625;0.21875;0.5390625;0.10546875;0.28125;0.5703125;0.115234375;0.3125;0.515625;0.076171875;0.2109375;0.296875;0.0283203125;0.0419921875;0.05078125;0.03125;0.0029296875;0.0546875;0.01953125;0.0009765625;0.02734375;0.00390625;0.0;0.0390625;0.00390625;0.0;0.04296875;0.00390625;0.0;0.03125;0.015625;0.0029296875;0.0029296875;0.015625;0.001953125;0.0;0.015625;0.0078125;0.0;0.8;0.15625;0.234375;0.59375;0.1328125;0.06640625;0.375;0.65625;0.140625;0.421875;0.65625;0.1328125;0.3125;0.4765625;0.08203125;0.0859375;0.1953125;0.46875;0.08984375;0.2578125;0.5;0.103515625;0.2890625;0.46875;0.076171875;0.18359375;0.15234375;0.021484375;0.029296875;0.0390625;0.02734375;0.0029296875;0.046875;0.015625;0.0009765625;0.03125;0.00390625;0.0;0.03515625;0.00390625;0.0;0.04296875;0.0078125;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.01171875;0.0078125;0.0;0.01171875;0.005859375;0.0;0.7
39;81.22;39;0.15625;0.234375;0.640625;0.13671875;0.06640625;0.40625;0.6875;0.14453125;0.453125;0.65625;0.125;0.34375;0.5546875;0.091796875;0.103515625;0.21875;0.5390625;0.107421875;0.2890625;0.5625;0.11328125;0.3203125;0.5078125;0.076171875;0.2109375;0.2890625;0.02734375;0.04296875;0.05078125;0.02734375;0.0029296875;0.0546875;0.01953125;0.0009765625;0.03125;0.00390625;0.0;0.03515625;0.00390625;0.0;0.04296875;0.00390625;0.0;0.03125;0.013671875;0.0029296875;0.00341796875;0.015625;0.00390625;0.0;0.015625;0.0078125;0.0;0.7;0.171875;0.234375;0.59375;0.13671875;0.06640625;0.375;0.671875;0.140625;0.421875;0.640625;0.1328125;0.3203125;0.4921875;0.083984375;0.08984375;0.203125;0.46875;0.09375;0.265625;0.5;0.1015625;0.2890625;0.46875;0.076171875;0.1875;0.15234375;0.021484375;0.029296875;0.0390625;0.0234375;0.0029296875;0.046875;0.01953125;0.0009765625;0.03125;0.00390625;0.0;0.03515625;0.00390625;0.0;0.0390625;0.00390625;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.01171875;0.00390625;0.0;0.013671875;0.009765625;0.0;0.7
40;80.55;40;0.15625;0.234375;0.640625;0.140625;0.06640625;0.390625;0.65625;0.13671875;0.46875;0.65625;0.125;0.34375;0.5625;0.09375;0.103515625;0.21875;0.5390625;0.107421875;0.2890625;0.5859375;0.119140625;0.3203125;0.5234375;0.08203125;0.21484375;0.296875;0.029296875;0.044921875;0.05078125;0.02734375;0.0029296875;0.0546875;0.01953125;0.0009765625;0.03125;0.00390625;0.0;0.0390625;0.00390625;0.0;0.04296875;0.00390625;0.0;0.03125;0.015625;0.0029296875;0.0029296875;0.015625;0.0;0.0;0.015625;0.005859375;0.0;0.8;0.171875;0.234375;0.609375;0.13671875;0.06640625;0.375;0.640625;0.13671875;0.453125;0.65625;0.13671875;0.328125;0.4921875;0.083984375;0.091796875;0.203125;0.4765625;0.09375;0.2578125;0.515625;0.10546875;0.2890625;0.46875;0.080078125;0.19140625;0.15234375;0.0234375;0.0302734375;0.0390625;0.01953125;0.001953125;0.046875;0.01953125;0.0009765625;0.03125;0.00390625;0.0;0.03515625;0.00390625;0.0;0.04296875;0.00390625;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.013671875;0.005859375;0.0;0.013671875;0.005859375;0.0;0.7
41;79.68;41;0.15625;0.21875;0.640625;0.13671875;0.06640625;0.40625;0.6875;0.140625;0.453125;0.671875;0.12890625;0.34375;0.5625;0.091796875;0.103515625;0.2265625;0.546875;0.109375;0.2890625;0.5703125;0.119140625;0.3203125;0.53125;0.08203125;0.21484375;0.2890625;0.0283203125;0.041015625;0.046875;0.02734375;0.0029296875;0.05078125;0.015625;0.0009765625;0.02734375;0.00390625;0.0;0.0390625;0.00390625;0.0;0.04296875;0.00390625;0.0;0.029296875;0.013671875;0.00341796875;0.0029296875;0.015625;0.0;0.0;0.013671875;0.0078125;0.0;0.7;0.15625;0.21875;0.59375;0.1328125;0.06640625;0.390625;0.65625;0.140625;0.4375;0.671875;0.140625;0.328125;0.5;0.0859375;0.091796875;0.2109375;0.484375;0.09375;0.265625;0.5078125;0.107421875;0.296875;0.484375;0.078125;0.19140625;0.15234375;0.0224609375;0.0302734375;0.03515625;0.01953125;0.0029296875;0.05078125;0.01953125;0.0009765625;0.03125;0.00390625;0.0;0.03125;0.00390625;0.0;0.04296875;0.00390625;0.0;0.02734375;0.01171875;0.00244140625;0.00244140625;0.01171875;0.005859375;0.0;0.01171875;0.00390625;0.0;0.6
42;79.65;42;0.15625;0.234375;0.625;0.13671875;0.06640625;0.40625;0.671875;0.140625;0.46875;0.671875;0.125;0.3515625;0.5546875;0.09375;0.103515625;0.2265625;0.5546875;0.111328125;0.2890625;0.5859375;0.119140625;0.328125;0.5234375;0.08203125;0.22265625;0.29296875;0.029296875;0.0439453125;0.05078125;0.0234375;0.0029296875;0.05078125;0.01953125;0.0009765625;0.02734375;0.0;0.0;0.0390625;0.00390625;0.0;0.04296875;0.00390625;0.0;0.03125;0.013671875;0.0029296875;0.0029296875;0.015625;0.0;0.0;0.015625;0.0078125;0.0;0.7;0.171875;0.234375;0.59375;0.1328125;0.06640625;0.375;0.65625;0.140625;0.4375;0.65625;0.13671875;0.3203125;0.484375;0.083984375;0.08984375;0.2109375;0.484375;0.09765625;0.265625;0.5234375;0.10546875;0.296875;0.484375;0.080078125;0.19140625;0.15234375;0.0224609375;0.0302734375;0.0390625;0.01953125;0.001953125;0.05078125;0.01953125;0.0009765625;0.02734375;0.0;0.0;0.0390625;0.00390625;0.0;0.0390625;0.00390625;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.013671875;0.0078125;0.0;0.013671875;0.005859375;0.0;0.7
43;81.46;43;0.171875;0.234375;0.640625;0.140625;0.06640625;0.421875;0.671875;0.14453125;0.46875;0.671875;0.12890625;0.359375;0.5703125;0.095703125;0.111328125;0.234375;0.578125;0.1171875;0.2890625;0.578125;0.119140625;0.328125;0.5390625;0.08203125;0.22265625;0.296875;0.0283203125;0.044921875;0.046875;0.0234375;0.0029296875;0.05078125;0.015625;0.0009765625;0.03125;0.0;0.0;0.03515625;0.0;0.0;0.04296875;0.00390625;0.0;0.03125;0.013671875;0.0029296875;0.0029296875;0.015625;0.0;0.0;0.015625;0.009765625;0.0;0.8;0.171875;0.234375;0.59375;0.13671875;0.06640625;0.390625;0.65625;0.14453125;0.453125;0.65625;0.140625;0.328125;0.5078125;0.0859375;0.095703125;0.2109375;0.5;0.103515625;0.2734375;0.5234375;0.109375;0.3046875;0.484375;0.078125;0.1953125;0.15625;0.0224609375;0.0302734375;0.03515625;0.015625;0.001953125;0.04296875;0.015625;0.0009765625;0.03125;0.0;0.0;0.03515625;0.00390625;0.0;0.0390625;0.00390625;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.013671875;0.0;0.0;0.01171875;0.005859375;0.0;0.7
44;81.99;44;0.15625;0.234375;0.640625;0.13671875;0.06640625;0.421875;0.6875;0.1484375;0.484375;0.671875;0.12890625;0.3671875;0.578125;0.09765625;0.11328125;0.234375;0.5703125;0.115234375;0.296875;0.59375;0.12109375;0.34375;0.5390625;0.083984375;0.23046875;0.30078125;0.02734375;0.0478515625;0.046875;0.0234375;0.001953125;0.046875;0.015625;0.0009765625;0.03125;0.0;0.0;0.04296875;0.00390625;0.0;0.04296875;0.00390625;0.0;0.03125;0.015625;0.0029296875;0.0029296875;0.015625;0.0;0.0;0.015625;0.0078125;0.0;0.8;0.171875;0.234375;0.609375;0.1328125;0.0703125;0.390625;0.671875;0.14453125;0.453125;0.671875;0.13671875;0.3359375;0.5078125;0.08984375;0.095703125;0.21875;0.5078125;0.099609375;0.2734375;0.5234375;0.107421875;0.3125;0.4921875;0.08203125;0.19921875;0.15625;0.0224609375;0.0302734375;0.03515625;0.01953125;0.001953125;0.04296875;0.015625;0.0009765625;0.03125;0.0;0.0;0.0390625;0.00390625;0.0;0.03515625;0.00390625;0.0;0.02734375;0.01171875;0.00244140625;0.00244140625;0.01171875;0.0;0.0;0.013671875;0.005859375;0.0;0.6
45;82.37;45;0.15625;0.234375;0.640625;0.140625;0.06640625;0.421875;0.671875;0.140625;0.484375;0.671875;0.12890625;0.359375;0.5546875;0.095703125;0.109375;0.234375;0.5703125;0.1171875;0.3046875;0.5859375;0.119140625;0.34375;0.546875;0.087890625;0.2265625;0.29296875;0.0283203125;0.0458984375;0.046875;0.0234375;0.0029296875;0.05078125;0.015625;0.0009765625;0.02734375;0.0;0.0;0.0390625;0.00390625;0.0;0.04296875;0.00390625;0.0;0.03125;0.013671875;0.0029296875;0.0029296875;0.015625;0.0;0.0;0.015625;0.0078125;0.0;0.8;0.171875;0.234375;0.609375;0.13671875;0.06640625;0.40625;0.65625;0.14453125;0.46875;0.671875;0.140625;0.34375;0.4921875;0.087890625;0.095703125;0.21875;0.5078125;0.1015625;0.2734375;0.5390625;0.109375;0.3203125;0.5;0.083984375;0.19921875;0.15234375;0.0224609375;0.03125;0.03515625;0.01953125;0.001953125;0.04296875;0.015625;0.0009765625;0.03125;0.0;0.0;0.0390625;0.00390625;0.0;0.0390625;0.00390625;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.01171875;0.00390625;0.0;0.01171875;0.00390625;0.0;0.6
46;80.45;46;0.15625;0.234375;0.640625;0.140625;0.06640625;0.421875;0.6875;0.1484375;0.46875;0.6875;0.12890625;0.359375;0.578125;0.09765625;0.109375;0.2421875;0.578125;0.1171875;0.3046875;0.59375;0.125;0.3515625;0.5625;0.087890625;0.234375;0.30859375;0.029296875;0.048828125;0.046875;0.01953125;0.001953125;0.046875;0.01171875;0.0009765625;0.03125;0.0;0.0;0.0390625;0.0;0.0;0.04296875;0.00390625;0.0;0.03125;0.015625;0.0029296875;0.0029296875;0.015625;0.0;0.0;0.015625;0.009765625;0.0;0.7;0.171875;0.234375;0.59375;0.13671875;0.0703125;0.40625;0.671875;0.1484375;0.453125;0.671875;0.140625;0.34375;0.5;0.087890625;0.095703125;0.2265625;0.5;0.09765625;0.2734375;0.53125;0.109375;0.3125;0.5;0.08203125;0.203125;0.15234375;0.0224609375;0.03125;0.03125;0.01953125;0.001953125;0.046875;0.015625;0.0009765625;0.02734375;0.0;0.0;0.0390625;0.0;0.0;0.03515625;0.00390625;0.0;0.02734375;0.01171875;0.0029296875;0.00244140625;0.01171875;0.005859375;0.0;0.01171875;0.005859375;0.0;0.7
47;82.25;47;0.15625;0.234375;0.640625;0.140625;0.06640625;0.4375;0.6875;0.14453125;0.46875;0.6875;0.1328125;0.3671875;0.578125;0.09765625;0.111328125;0.2421875;0.578125;0.119140625;0.3125;0.6015625;0.123046875;0.359375;0.5546875;0.091796875;0.23828125;0.30078125;0.0302734375;0.048828125;0.046875;0.01953125;0.001953125;0.046875;0.01171875;0.0009765625;0.03515625;0.0;0.0;0.0390625;0.0;0.0;0.04296875;0.00390625;0.0;0.03125;0.013671875;0.0029296875;0.0029296875;0.015625;0.0;0.0;0.013671875;0.0078125;0.0;0.8;0.171875;0.234375;0.59375;0.13671875;0.0703125;0.40625;0.671875;0.14453125;0.453125;0.6875;0.14453125;0.3359375;0.515625;0.091796875;0.095703125;0.2265625;0.515625;0.103515625;0.2890625;0.5390625;0.109375;0.328125;0.5078125;0.087890625;0.20703125;0.15234375;0.0224609375;0.0322265625;0.0390625;0.01953125;0.001953125;0.04296875;0.01171875;0.0009765625;0.03125;0.0;0.0;0.0390625;0.0;0.0;0.03515625;0.00390625;0.0;0.029296875;0.01171875;0.0029296875;0.00244140625;0.01171875;0.0;0.0;0.01171875;0.005859375;0.0;0.6
48;81.98;48;0.15625;0.234375;0.640625;0.14453125;0.06640625;0.4375;0.6875;0.1484375;0.5;0.703125;0.1328125;0.3671875;0.578125;0.099609375;0.115234375;0.2421875;0.578125;0.12109375;0.3125;0.6015625;0.125;0.359375;0.5546875;0.08984375;0.23828125;0.3046875;0.029296875;0.0478515625;0.04296875;0.0234375;0.0029296875;0.046875;0.01171875;0.0009765625;0.02734375;0.0;0.0;0.0390625;0.0;0.0;0.04296875;0.00390625;0.0;0.033203125;0.015625;0.00341796875;0.0029296875;0.015625;0.0;0.0;0.015625;0.0078125;0.0;0.8;0.171875;0.234375;0.609375;0.140625;0.06640625;0.40625;0.671875;0.15234375;0.46875;0.6875;0.14453125;0.34375;0.5234375;0.091796875;0.099609375;0.2265625;0.5;0.103515625;0.2890625;0.5390625;0.11328125;0.3359375;0.5078125;0.087890625;0.2109375;0.15625;0.0224609375;0.0322265625;0.03125;0.01953125;0.001953125;0.0390625;0.01171875;0.0009765625;0.02734375;0.0;0.0;0.03125;0.0;0.0;0.04296875;0.00390625;0.0;0.029296875;0.01171875;0.0029296875;0.00244140625;0.009765625;0.001953125;0.0;0.01171875;0.005859375;0.0;0.6
